STATENAME,URL,WEBSITE,ACTIVITYESTIMATE,WEEKEND,WEEK,SEASON
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Sporadic,May-07-2016,18,2015-16
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Sporadic,May-14-2016,19,2015-16
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Local Activity,May-21-2016,20,2015-16
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Sporadic,Oct-10-2015,40,2015-16
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Sporadic,Oct-17-2015,41,2015-16
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Sporadic,Oct-24-2015,42,2015-16
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Sporadic,Oct-31-2015,43,2015-16
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Sporadic,Nov-07-2015,44,2015-16
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Sporadic,Nov-14-2015,45,2015-16
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Sporadic,Nov-21-2015,46,2015-16
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Sporadic,Nov-28-2015,47,2015-16
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Sporadic,Dec-05-2015,48,2015-16
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Local Activity,Dec-12-2015,49,2015-16
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Local Activity,Dec-19-2015,50,2015-16
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Local Activity,Dec-26-2015,51,2015-16
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Local Activity,Jan-02-2016,52,2015-16
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Regional,Jan-09-2016,1,2015-16
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Regional,Jan-16-2016,2,2015-16
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Regional,Jan-23-2016,3,2015-16
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Regional,Jan-30-2016,4,2015-16
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Widespread,Feb-06-2016,5,2015-16
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Widespread,Feb-13-2016,6,2015-16
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Widespread,Feb-20-2016,7,2015-16
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Widespread,Feb-27-2016,8,2015-16
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Widespread,Mar-05-2016,9,2015-16
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Widespread,Mar-12-2016,10,2015-16
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Widespread,Mar-19-2016,11,2015-16
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Widespread,Mar-26-2016,12,2015-16
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Widespread,Apr-02-2016,13,2015-16
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Widespread,Apr-09-2016,14,2015-16
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Regional,Apr-16-2016,15,2015-16
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Regional,Apr-23-2016,16,2015-16
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Regional,Apr-30-2016,17,2015-16
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Local Activity,May-07-2016,18,2015-16
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Local Activity,May-14-2016,19,2015-16
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Local Activity,May-21-2016,20,2015-16
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/Immunizations/SeasonalFlu/Pages/default.aspx,"Communicable Disease and Immunizations",No Activity,Oct-10-2015,40,2015-16
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/Immunizations/SeasonalFlu/Pages/default.aspx,"Communicable Disease and Immunizations",Sporadic,Oct-17-2015,41,2015-16
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/Immunizations/SeasonalFlu/Pages/default.aspx,"Communicable Disease and Immunizations",Sporadic,Oct-24-2015,42,2015-16
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/Immunizations/SeasonalFlu/Pages/default.aspx,"Communicable Disease and Immunizations",Sporadic,Oct-31-2015,43,2015-16
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/Immunizations/SeasonalFlu/Pages/default.aspx,"Communicable Disease and Immunizations",Sporadic,Nov-07-2015,44,2015-16
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/Immunizations/SeasonalFlu/Pages/default.aspx,"Communicable Disease and Immunizations",Sporadic,Nov-14-2015,45,2015-16
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/Immunizations/SeasonalFlu/Pages/default.aspx,"Communicable Disease and Immunizations",Sporadic,Nov-21-2015,46,2015-16
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/Immunizations/SeasonalFlu/Pages/default.aspx,"Communicable Disease and Immunizations",Sporadic,Nov-28-2015,47,2015-16
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/Immunizations/SeasonalFlu/Pages/default.aspx,"Communicable Disease and Immunizations",Sporadic,Dec-05-2015,48,2015-16
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/Immunizations/SeasonalFlu/Pages/default.aspx,"Communicable Disease and Immunizations",Sporadic,Dec-12-2015,49,2015-16
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/Immunizations/SeasonalFlu/Pages/default.aspx,"Communicable Disease and Immunizations",Sporadic,Dec-19-2015,50,2015-16
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/Immunizations/SeasonalFlu/Pages/default.aspx,"Communicable Disease and Immunizations",Sporadic,Dec-26-2015,51,2015-16
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/Immunizations/SeasonalFlu/Pages/default.aspx,"Communicable Disease and Immunizations",Sporadic,Jan-02-2016,52,2015-16
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/Immunizations/SeasonalFlu/Pages/default.aspx,"Communicable Disease and Immunizations",Sporadic,Jan-09-2016,1,2015-16
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/Immunizations/SeasonalFlu/Pages/default.aspx,"Communicable Disease and Immunizations",Sporadic,Jan-16-2016,2,2015-16
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/Immunizations/SeasonalFlu/Pages/default.aspx,"Communicable Disease and Immunizations",Local Activity,Jan-23-2016,3,2015-16
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/Immunizations/SeasonalFlu/Pages/default.aspx,"Communicable Disease and Immunizations",Local Activity,Jan-30-2016,4,2015-16
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/Immunizations/SeasonalFlu/Pages/default.aspx,"Communicable Disease and Immunizations",Local Activity,Feb-06-2016,5,2015-16
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/Immunizations/SeasonalFlu/Pages/default.aspx,"Communicable Disease and Immunizations",Local Activity,Feb-13-2016,6,2015-16
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/Immunizations/SeasonalFlu/Pages/default.aspx,"Communicable Disease and Immunizations",Local Activity,Feb-20-2016,7,2015-16
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/Immunizations/SeasonalFlu/Pages/default.aspx,"Communicable Disease and Immunizations",Regional,Feb-27-2016,8,2015-16
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/Immunizations/SeasonalFlu/Pages/default.aspx,"Communicable Disease and Immunizations",Widespread,Mar-05-2016,9,2015-16
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/Immunizations/SeasonalFlu/Pages/default.aspx,"Communicable Disease and Immunizations",Widespread,Mar-12-2016,10,2015-16
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/Immunizations/SeasonalFlu/Pages/default.aspx,"Communicable Disease and Immunizations",Widespread,Mar-19-2016,11,2015-16
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/Immunizations/SeasonalFlu/Pages/default.aspx,"Communicable Disease and Immunizations",Regional,Mar-26-2016,12,2015-16
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/Immunizations/SeasonalFlu/Pages/default.aspx,"Communicable Disease and Immunizations",Regional,Apr-02-2016,13,2015-16
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/Immunizations/SeasonalFlu/Pages/default.aspx,"Communicable Disease and Immunizations",Regional,Apr-09-2016,14,2015-16
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/Immunizations/SeasonalFlu/Pages/default.aspx,"Communicable Disease and Immunizations",Regional,Apr-16-2016,15,2015-16
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/Immunizations/SeasonalFlu/Pages/default.aspx,"Communicable Disease and Immunizations",Local Activity,Apr-23-2016,16,2015-16
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/Immunizations/SeasonalFlu/Pages/default.aspx,"Communicable Disease and Immunizations",Local Activity,Apr-30-2016,17,2015-16
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/Immunizations/SeasonalFlu/Pages/default.aspx,"Communicable Disease and Immunizations",Local Activity,May-07-2016,18,2015-16
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/Immunizations/SeasonalFlu/Pages/default.aspx,"Communicable Disease and Immunizations",Sporadic,May-14-2016,19,2015-16
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/Immunizations/SeasonalFlu/Pages/default.aspx,"Communicable Disease and Immunizations",Sporadic,May-21-2016,20,2015-16
California,https://archive.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,"Influenza (Flu)",Sporadic,Oct-10-2015,40,2015-16
California,https://archive.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,"Influenza (Flu)",Sporadic,Oct-17-2015,41,2015-16
California,https://archive.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,"Influenza (Flu)",Sporadic,Oct-24-2015,42,2015-16
California,https://archive.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,"Influenza (Flu)",Sporadic,Oct-31-2015,43,2015-16
California,https://archive.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,"Influenza (Flu)",Sporadic,Nov-07-2015,44,2015-16
California,https://archive.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,"Influenza (Flu)",Sporadic,Nov-14-2015,45,2015-16
California,https://archive.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,"Influenza (Flu)",Sporadic,Nov-21-2015,46,2015-16
California,https://archive.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,"Influenza (Flu)",Sporadic,Nov-28-2015,47,2015-16
California,https://archive.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,"Influenza (Flu)",Sporadic,Dec-05-2015,48,2015-16
California,https://archive.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,"Influenza (Flu)",Sporadic,Dec-12-2015,49,2015-16
California,https://archive.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,"Influenza (Flu)",Sporadic,Dec-19-2015,50,2015-16
California,https://archive.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,"Influenza (Flu)",Sporadic,Dec-26-2015,51,2015-16
California,https://archive.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,"Influenza (Flu)",Local Activity,Jan-02-2016,52,2015-16
California,https://archive.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,"Influenza (Flu)",Regional,Jan-09-2016,1,2015-16
California,https://archive.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,"Influenza (Flu)",Regional,Jan-16-2016,2,2015-16
California,https://archive.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,"Influenza (Flu)",Widespread,Jan-23-2016,3,2015-16
California,https://archive.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,"Influenza (Flu)",Widespread,Jan-30-2016,4,2015-16
California,https://archive.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,"Influenza (Flu)",Widespread,Feb-06-2016,5,2015-16
California,https://archive.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,"Influenza (Flu)",Widespread,Feb-13-2016,6,2015-16
California,https://archive.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,"Influenza (Flu)",Widespread,Feb-20-2016,7,2015-16
California,https://archive.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,"Influenza (Flu)",Widespread,Feb-27-2016,8,2015-16
California,https://archive.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,"Influenza (Flu)",Widespread,Mar-05-2016,9,2015-16
California,https://archive.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,"Influenza (Flu)",Widespread,Mar-12-2016,10,2015-16
California,https://archive.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,"Influenza (Flu)",Widespread,Mar-19-2016,11,2015-16
California,https://archive.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,"Influenza (Flu)",Widespread,Mar-26-2016,12,2015-16
California,https://archive.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,"Influenza (Flu)",Widespread,Apr-02-2016,13,2015-16
California,https://archive.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,"Influenza (Flu)",Widespread,Apr-09-2016,14,2015-16
California,https://archive.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,"Influenza (Flu)",Regional,Apr-16-2016,15,2015-16
California,https://archive.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,"Influenza (Flu)",Regional,Apr-23-2016,16,2015-16
California,https://archive.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,"Influenza (Flu)",Regional,Apr-30-2016,17,2015-16
California,https://archive.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,"Influenza (Flu)",Local Activity,May-07-2016,18,2015-16
California,https://archive.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,"Influenza (Flu)",Local Activity,May-14-2016,19,2015-16
California,https://archive.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,"Influenza (Flu)",Sporadic,May-21-2016,20,2015-16
Colorado,https://www.colorado.gov/pacific/cdphe/influenza-data,"Influenza Surveillance",No Activity,Oct-10-2015,40,2015-16
Colorado,https://www.colorado.gov/pacific/cdphe/influenza-data,"Influenza Surveillance",No Activity,Oct-17-2015,41,2015-16
Colorado,https://www.colorado.gov/pacific/cdphe/influenza-data,"Influenza Surveillance",Sporadic,Oct-24-2015,42,2015-16
Colorado,https://www.colorado.gov/pacific/cdphe/influenza-data,"Influenza Surveillance",Sporadic,Oct-31-2015,43,2015-16
Colorado,https://www.colorado.gov/pacific/cdphe/influenza-data,"Influenza Surveillance",Sporadic,Nov-07-2015,44,2015-16
Colorado,https://www.colorado.gov/pacific/cdphe/influenza-data,"Influenza Surveillance",Sporadic,Nov-14-2015,45,2015-16
Colorado,https://www.colorado.gov/pacific/cdphe/influenza-data,"Influenza Surveillance",Sporadic,Nov-21-2015,46,2015-16
Colorado,https://www.colorado.gov/pacific/cdphe/influenza-data,"Influenza Surveillance",Sporadic,Nov-28-2015,47,2015-16
Colorado,https://www.colorado.gov/pacific/cdphe/influenza-data,"Influenza Surveillance",Sporadic,Dec-05-2015,48,2015-16
Colorado,https://www.colorado.gov/pacific/cdphe/influenza-data,"Influenza Surveillance",Sporadic,Dec-12-2015,49,2015-16
Colorado,https://www.colorado.gov/pacific/cdphe/influenza-data,"Influenza Surveillance",Sporadic,Dec-19-2015,50,2015-16
Colorado,https://www.colorado.gov/pacific/cdphe/influenza-data,"Influenza Surveillance",Sporadic,Dec-26-2015,51,2015-16
Colorado,https://www.colorado.gov/pacific/cdphe/influenza-data,"Influenza Surveillance",Sporadic,Jan-02-2016,52,2015-16
Colorado,https://www.colorado.gov/pacific/cdphe/influenza-data,"Influenza Surveillance",Sporadic,Jan-09-2016,1,2015-16
Colorado,https://www.colorado.gov/pacific/cdphe/influenza-data,"Influenza Surveillance",Sporadic,Jan-16-2016,2,2015-16
Colorado,https://www.colorado.gov/pacific/cdphe/influenza-data,"Influenza Surveillance",Sporadic,Jan-23-2016,3,2015-16
Colorado,https://www.colorado.gov/pacific/cdphe/influenza-data,"Influenza Surveillance",Local Activity,Jan-30-2016,4,2015-16
Colorado,https://www.colorado.gov/pacific/cdphe/influenza-data,"Influenza Surveillance",Local Activity,Feb-06-2016,5,2015-16
Colorado,https://www.colorado.gov/pacific/cdphe/influenza-data,"Influenza Surveillance",Local Activity,Feb-13-2016,6,2015-16
Colorado,https://www.colorado.gov/pacific/cdphe/influenza-data,"Influenza Surveillance",Local Activity,Feb-20-2016,7,2015-16
Colorado,https://www.colorado.gov/pacific/cdphe/influenza-data,"Influenza Surveillance",Regional,Feb-27-2016,8,2015-16
Colorado,https://www.colorado.gov/pacific/cdphe/influenza-data,"Influenza Surveillance",Regional,Mar-05-2016,9,2015-16
Colorado,https://www.colorado.gov/pacific/cdphe/influenza-data,"Influenza Surveillance",Widespread,Mar-12-2016,10,2015-16
Colorado,https://www.colorado.gov/pacific/cdphe/influenza-data,"Influenza Surveillance",Widespread,Mar-19-2016,11,2015-16
Colorado,https://www.colorado.gov/pacific/cdphe/influenza-data,"Influenza Surveillance",Widespread,Mar-26-2016,12,2015-16
Colorado,https://www.colorado.gov/pacific/cdphe/influenza-data,"Influenza Surveillance",Widespread,Apr-02-2016,13,2015-16
